date,company,description,amount
2024-01-04,Amazon Music,Subscription,129
2024-01-05,Netflix,Subscription,599
2024-01-06,SoundCloud Go+,Subscription,149
2024-01-07,Apple Music,Subscription,149
2024-01-09,BookMyShow,Purchase,300
2024-01-10,Spotify,Subscription,199
2024-01-11,Dominos,Purchase,650
2024-01-12,Adobe,Subscription,799
2024-01-13,Flipkart,Purchase,1200
2024-01-14,Stationery,Purchase,120
2024-01-15,Amazon,Subscription,299
2024-01-18,Microsoft,Subscription,489
2024-01-19,Swiggy,Purchase,430
2024-01-20,Dropbox,Subscription,249
2024-01-21,PhonePe,Purchase,250
2024-01-22,Canva Pro,Subscription,499
2024-01-23,GPay,Purchase,150
2024-01-24,Petrol,Purchase,1800
2024-01-25,NYTimes,Subscription,349
2024-01-26,DMart,Purchase,2100
2024-01-27,Amazon,Purchase,2599
2024-01-28,Uber,Purchase,420
2024-01-29,Street Vendor,Purchase,80
2024-01-30,Google One,Subscription,130
2024-01-31,Croma,Purchase,7200
2024-02-01,MakeMyTrip,Purchase,4200
2024-02-02,Headspace,Subscription,299
2024-02-03,KFC,Purchase,380
2024-02-04,Movie Rental,Purchase,120
2024-02-05,Netflix,Subscription,599
2024-02-06,BigBasket,Purchase,1750
2024-02-07,Apple Music,Subscription,149
2024-02-08,Myntra,Purchase,2200
2024-02-09,PharmEasy,Purchase,450
2024-02-10,Spotify,Subscription,199
2024-02-11,PlayStation Plus,Subscription,599
2024-02-12,Adobe,Subscription,799
2024-02-13,IRCTC,Purchase,1200
2024-02-14,Dominos,Purchase,680
2024-02-15,Amazon,Subscription,299
2024-02-16,Recharge,Purchase,299
2024-02-17,Electricity Board,Purchase,2100
2024-02-18,Microsoft,Subscription,489
2024-02-19,Zomato,Purchase,520
2024-02-20,Dropbox,Subscription,249
2024-02-21,Laundry,Purchase,400
2024-02-22,Gym,Subscription,599
2024-02-23,Stationery,Purchase,220
2024-02-24,BookMyShow,Purchase,600
2024-02-25,NYTimes,Subscription,349
2024-02-26,Petrol,Purchase,2100
2024-02-27,Amazon,Purchase,950
2024-02-28,Google One,Subscription,130
2024-02-29,PhonePe,Purchase,450
2024-03-01,Uber,Purchase,320
2024-03-02,Canva Pro,Subscription,499
2024-03-03,BigBasket,Purchase,1350
2024-03-04,Skillshare,Purchase,299
2024-03-05,Netflix,Subscription,599
2024-03-06,SoundCloud Go+,Subscription,149
2024-03-07,Apple Music,Subscription,149
2024-03-08,Patel Medical,Purchase,600
2024-03-09,Dominos,Purchase,740
2024-03-10,Spotify,Subscription,199
2024-03-11,PlayStation Plus,Subscription,599
2024-03-12,Adobe,Subscription,799
2024-03-13,Flipkart,Purchase,2600
2024-03-14,Stationery,Purchase,90
2024-03-15,Amazon,Subscription,299
2024-03-16,Petrol,Purchase,1600
2024-03-17,Zomato,Purchase,410
2024-03-18,Microsoft,Subscription,489
2024-03-19,PharmEasy,Purchase,250
2024-03-20,Dropbox,Subscription,249
2024-03-21,Street Vendor,Purchase,60
2024-03-22,Gym,Subscription,599
2024-03-23,BookMyShow,Purchase,350
2024-03-24,Amazon,Purchase,1299
2024-03-25,NYTimes,Subscription,349
2024-03-26,Laundry,Purchase,380
2024-03-27,Coursera,Subscription,999
2024-03-28,Disney,Subscription,299
2024-03-29,Uber,Purchase,290
2024-03-30,Google One,Subscription,130
2024-03-31,Croma,Purchase,4500
2024-04-01,MakeMyTrip,Purchase,5200
2024-04-02,Headspace,Subscription,299
2024-04-03,Dominos,Purchase,560
2024-04-04,Movie Rental,Purchase,150
2024-04-05,GitHub Copilot,Subscription,790
2024-04-06,BigBasket,Purchase,2100
2024-04-07,Apple Music,Subscription,149
2024-04-08,Myntra,Purchase,1800
2024-04-09,PharmEasy,Purchase,980
2024-04-10,Spotify,Subscription,199
2024-04-11,Netflix,Purchase,599
2024-04-12,Adobe,Subscription,799
2024-04-13,IRCTC,Purchase,2200
2024-04-14,Notion Pro,Subscription,249
2024-04-15,Amazon,Subscription,299
2024-04-16,Recharge,Purchase,199
2024-04-17,Electricity Board,Purchase,2300
2024-04-18,Microsoft,Subscription,489
2024-04-19,Zomato,Purchase,450
2024-04-20,Dropbox,Subscription,249
2024-04-21,Stationery,Purchase,330
2024-04-22,Gym,Subscription,599
2024-04-23,BookMyShow,Purchase,420
2024-04-24,Amazon,Purchase,1599
2024-04-25,NYTimes,Subscription,349
2024-04-26,Petrol,Purchase,2400
2024-04-27,Uber,Purchase,360
2024-04-28,Disney,Subscription,299
2024-04-29,Street Vendor,Purchase,90
2024-04-30,Google One,Subscription,130
2024-05-01,Swiggy,Purchase,520
2024-05-02,Headspace,Subscription,299
2024-05-03,KFC,Purchase,420
2024-05-04,BookMyShow,Purchase,380
2024-05-05,Netflix,Subscription,599
2024-05-05,GitHub Copilot,Subscription,790
2024-05-06,BigBasket,Purchase,1850
2024-05-07,Apple Music,Subscription,149
2024-05-08,Flipkart,Purchase,2100
2024-05-09,PharmEasy,Purchase,330
2024-05-10,Spotify,Subscription,199
2024-05-11,Dominos,Purchase,800
2024-05-12,Adobe,Subscription,799
2024-05-13,IRCTC,Purchase,1700
2024-05-14,Notion Pro,Subscription,249
2024-05-15,Amazon,Subscription,299
2024-05-16,Recharge,Purchase,299
2024-05-17,Electricity Board,Purchase,1900
2024-05-18,Microsoft,Subscription,489
2024-05-19,Zomato,Purchase,350
2024-05-20,Dropbox,Subscription,249
2024-05-21,Stationery,Purchase,150
2024-05-22,Gym,Subscription,599
2024-05-23,BookMyShow,Purchase,280
2024-05-24,Amazon,Purchase,2450
2024-05-25,NYTimes,Subscription,349
2024-05-26,Petrol,Purchase,2100
2024-05-27,ExpressVPN,Subscription,650
2024-05-28,Disney,Subscription,299
2024-05-29,Uber,Purchase,430
2024-05-30,Google One,Subscription,130
2024-05-31,Croma,Purchase,3200
2024-06-01,MakeMyTrip,Purchase,6200
2024-06-02,Headspace,Subscription,299
2024-06-03,Dominos,Purchase,680
2024-06-04,Movie Rental,Purchase,130
2024-06-05,Netflix,Subscription,599
2024-06-05,GitHub Copilot,Subscription,790
2024-06-06,BigBasket,Purchase,1600
2024-06-07,Apple Music,Subscription,149
2024-06-08,Myntra,Purchase,1900
2024-06-09,PharmEasy,Purchase,300
2024-06-10,Spotify,Subscription,199
2024-06-11,Dominos,Purchase,720
2024-06-12,Adobe,Subscription,799
2024-06-13,IRCTC,Purchase,2500
2024-06-14,Notion Pro,Subscription,249
2024-06-15,Amazon,Subscription,299
2024-06-16,Recharge,Purchase,399
2024-06-17,Electricity Board,Purchase,2700
2024-06-18,Microsoft,Subscription,489
2024-06-19,Zomato,Purchase,500
2024-06-20,Dropbox,Subscription,249
2024-06-21,Stationery,Purchase,260
2024-06-22,Gym,Subscription,599
2024-06-23,BookMyShow,Purchase,420
2024-06-24,Amazon,Purchase,1299
2024-06-25,NYTimes,Subscription,349
2024-06-26,Petrol,Purchase,2300
2024-06-27,ExpressVPN,Subscription,650
2024-06-28,Disney,Subscription,299
2024-06-29,Uber,Purchase,310
2024-06-30,Google One,Subscription,130
2024-07-01,Swiggy,Purchase,490
2024-07-02,Headspace,Subscription,299
2024-07-03,Coursera,Subscription,999
2024-07-04,KFC,Purchase,360
2024-07-05,Netflix,Subscription,599
2024-07-06,BigBasket,Purchase,1750
2024-07-07,Apple Music,Subscription,149
2024-07-08,Flipkart,Purchase,2100
2024-07-09,PharmEasy,Purchase,290
2024-07-10,Spotify,Subscription,199
2024-07-11,Dominos,Purchase,760
2024-07-12,Adobe,Subscription,799
2024-07-13,IRCTC,Purchase,1400
2024-07-14,Notion Pro,Subscription,249
2024-07-15,Amazon,Subscription,299
2024-07-16,Uber Pass,Subscription,199
2024-07-17,Electricity Board,Purchase,2200
2024-07-18,Microsoft,Subscription,489
2024-07-19,Zomato,Purchase,480
2024-07-20,Dropbox,Subscription,249
2024-07-21,Stationery,Purchase,120
2024-07-22,Gym,Subscription,599
2024-07-23,BookMyShow,Purchase,360
2024-07-24,Amazon,Purchase,1499
2024-07-25,NYTimes,Subscription,349
2024-07-26,Petrol,Purchase,2000
2024-07-27,Uber,Purchase,330
2024-07-28,Disney,Subscription,299
2024-07-29,Street Vendor,Purchase,70
2024-07-30,Google One,Subscription,130
2024-07-31,Croma,Purchase,4100
2024-08-01,MakeMyTrip,Purchase,3000
2024-08-02,Headspace,Subscription,299
2024-08-03,Coursera,Subscription,999
2024-08-04,Dominos,Purchase,700
2024-08-05,Netflix,Subscription,599
2024-08-06,BigBasket,Purchase,2100
2024-08-07,Apple Music,Subscription,149
2024-08-08,Myntra,Purchase,2300
2024-08-09,PharmEasy,Purchase,270
2024-08-10,Spotify,Subscription,199
2024-08-11,Dominos,Purchase,640
2024-08-12,Adobe,Subscription,799
2024-08-13,IRCTC,Purchase,2600
2024-08-14,Notion Pro,Subscription,249
2024-08-15,Amazon,Subscription,299
2024-08-16,Uber Pass,Subscription,199
2024-08-17,Electricity Board,Purchase,2400
2024-08-18,Microsoft,Subscription,489
2024-08-19,Zomato,Purchase,390
2024-08-20,Dropbox,Subscription,249
2024-08-21,Stationery,Purchase,200
2024-08-22,Gym,Subscription,599
2024-08-23,BookMyShow,Purchase,350
2024-08-24,Amazon,Purchase,1750
2024-08-25,NYTimes,Subscription,349
2024-08-26,Petrol,Purchase,2200
2024-08-27,Uber,Purchase,420
2024-08-28,Disney,Subscription,299
2024-08-29,Street Vendor,Purchase,50
2024-08-30,Google One,Subscription,130
2024-08-31,Croma,Purchase,9000
2024-09-01,Swiggy,Purchase,460
2024-09-02,Headspace,Subscription,299
2024-09-03,Coursera,Subscription,999
2024-09-04,Dominos,Purchase,640
2024-09-05,Netflix,Subscription,599
2024-09-06,BigBasket,Purchase,1500
2024-09-07,Apple Music,Subscription,149
2024-09-08,Flipkart,Purchase,2199
2024-09-09,PharmEasy,Purchase,360
2024-09-10,Spotify,Subscription,199
2024-09-11,Dominos,Purchase,720
2024-09-12,Adobe,Subscription,799
2024-09-13,IRCTC,Purchase,1900
2024-09-14,Notion Pro,Subscription,249
2024-09-15,Amazon,Subscription,299
2024-09-16,Recharge,Purchase,249
2024-09-17,Electricity Board,Purchase,2100
2024-09-18,Microsoft,Subscription,489
2024-09-19,Zomato,Purchase,470
2024-09-20,Dropbox,Subscription,249
2024-09-21,Stationery,Purchase,320
2024-09-22,Gym,Subscription,599
2024-09-23,BookMyShow,Purchase,380
2024-09-24,Amazon,Purchase,1399
2024-09-25,NYTimes,Subscription,349
2024-09-26,Petrol,Purchase,2100
2024-09-27,Uber,Purchase,300
2024-09-28,Disney,Subscription,299
2024-09-29,Street Vendor,Purchase,60
2024-09-30,Google One,Subscription,130
2024-10-01,MakeMyTrip,Purchase,7500
2024-10-02,Headspace,Subscription,299
2024-10-03,Coursera,Subscription,999
2024-10-04,Dominos,Purchase,580
2024-10-05,Netflix,Subscription,599
2024-10-06,BigBasket,Purchase,1750
2024-10-07,Apple Music,Subscription,149
2024-10-08,Myntra,Purchase,1600
2024-10-09,PharmEasy,Purchase,540
2024-10-10,Spotify,Subscription,199
2024-10-11,Dominos,Purchase,760
2024-10-12,Adobe,Subscription,799
2024-10-13,IRCTC,Purchase,1550
2024-10-14,Notion Pro,Subscription,249
2024-10-15,Amazon,Subscription,299
2024-10-16,Recharge,Purchase,199
2024-10-17,Electricity Board,Purchase,2350
2024-10-18,Microsoft,Subscription,489
2024-10-19,Zomato,Purchase,430
2024-10-20,Dropbox,Subscription,249
2024-10-21,Stationery,Purchase,180
2024-10-22,Gym,Subscription,599
2024-10-23,BookMyShow,Purchase,360
2024-10-24,Amazon,Purchase,1899
2024-10-25,NYTimes,Subscription,349
2024-10-26,Petrol,Purchase,2000
2024-10-27,Uber,Purchase,350
2024-10-28,Disney,Subscription,299
2024-10-29,Street Vendor,Purchase,40
2024-10-30,Google One,Subscription,130
2024-10-31,Croma,Purchase,6200
2024-11-01,Swiggy,Purchase,520
2024-11-02,Headspace,Subscription,299
2024-11-03,Coursera,Subscription,999
2024-11-04,Dominos,Purchase,720
2024-11-05,Netflix,Subscription,599
2024-11-06,BigBasket,Purchase,1950
2024-11-07,Apple Music,Subscription,149
2024-11-08,Flipkart,Purchase,2100
2024-11-09,PharmEasy,Purchase,360
2024-11-10,Spotify,Subscription,199
2024-11-11,Dominos,Purchase,800
2024-11-12,Adobe,Subscription,799
2024-11-13,IRCTC,Purchase,2400
2024-11-14,Notion Pro,Subscription,249
2024-11-15,Amazon,Subscription,299
2024-11-16,Recharge,Purchase,299
2024-11-17,Electricity Board,Purchase,2200
2024-11-18,Microsoft,Subscription,489
2024-11-19,Zomato,Purchase,410
2024-11-20,Dropbox,Subscription,249
2024-11-21,Stationery,Purchase,90
2024-11-22,Gym,Subscription,599
2024-11-23,BookMyShow,Purchase,340
2024-11-24,Amazon,Purchase,1399
2024-11-25,NYTimes,Subscription,349
2024-11-26,Petrol,Purchase,2300
2024-11-27,Uber,Purchase,360
2024-11-28,Disney,Subscription,299
2024-11-29,Street Vendor,Purchase,75
2024-11-30,Google One,Subscription,130
2024-12-01,MakeMyTrip,Purchase,6500
2024-12-02,Headspace,Subscription,299
2024-12-03,Dominos,Purchase,640
2024-12-04,Movie Rental,Purchase,120
2024-12-05,Netflix,Subscription,599
2024-12-06,BigBasket,Purchase,1750
2024-12-07,Apple Music,Subscription,149
2024-12-08,Myntra,Purchase,2200
2024-12-09,PharmEasy,Purchase,280
2024-12-10,Spotify,Subscription,199
2024-12-11,Dominos,Purchase,720
2024-12-12,Adobe,Subscription,799
2024-12-13,IRCTC,Purchase,1700
2024-12-14,Notion Pro,Subscription,249
2024-12-15,Amazon,Subscription,299
2024-12-16,Recharge,Purchase,199
2024-12-17,Electricity Board,Purchase,2600
2024-12-18,Microsoft,Subscription,489
2024-12-19,Zomato,Purchase,490
2024-12-20,Dropbox,Subscription,249
2024-12-21,Stationery,Purchase,200
2024-12-22,Gym,Subscription,599
